trial_number,l1_smooth,dropout_rate,lr_max,n_epoch,num_layers,num_resblocks,num_units_layer_0,num_units_layer_1,num_units_layer_2,num_units_layer_3,num_units_layer_4,use_batchnorm,use_dropout,use_resblocks,mae,mse,rmse,state
66,0.07288900762796402,0.7940066266858044,0.007499874792681557,296,5,,128,26.0,189.0,18.0,42.0,True,False,False,0.25882992148399353,0.1526712328195572,0.39073166251182556,COMPLETE
67,0.06641139835119247,0.7661886704958335,0.006733486806247103,297,5,,189,28.0,192.0,18.0,42.0,True,False,False,0.24562379717826843,0.13928212225437164,0.3732052147388458,COMPLETE
68,0.08380507677793503,0.7975960712661351,0.002198488065749006,290,1,,178,,,,,True,False,False,0.2753494679927826,0.18571077287197113,0.43094173073768616,COMPLETE
69,0.07182370126247406,0.76686553864171,0.006527920467206147,265,5,,146,26.0,185.0,18.0,31.0,True,False,False,0.2561044692993164,0.1526545137166977,0.3907102346420288,COMPLETE
70,0.45532289147377014,0.755202297000983,0.007206850689061315,267,5,,193,25.0,189.0,18.0,31.0,True,True,False,0.8641080856323242,1.0368210077285767,1.0182440280914307,COMPLETE
71,0.07186003029346466,0.7673277653827217,0.003571077184716527,300,5,,144,19.0,154.0,20.0,43.0,True,False,False,0.26036587357521057,0.15108639001846313,0.3886983096599579,COMPLETE
72,0.0806720033288002,0.770593358649543,0.003856880657471156,243,5,,147,19.0,237.0,16.0,27.0,True,False,False,0.27312782406806946,0.16807547211647034,0.40997007489204407,COMPLETE
73,0.06941422075033188,0.7260330853628445,0.006047412367702906,278,5,,137,27.0,156.0,20.0,43.0,True,False,False,0.2509661912918091,0.14574596285820007,0.3817669153213501,COMPLETE
74,0.079021155834198,0.7285599414005238,0.006421248735506983,295,5,,139,19.0,180.0,20.0,42.0,True,False,False,0.2667466998100281,0.16725008189678192,0.408962219953537,COMPLETE
75,0.07751858234405518,0.730082541223229,0.003211102648978165,258,5,,211,26.0,157.0,19.0,23.0,True,False,False,0.2672179639339447,0.16521450877189636,0.4064658582210541,COMPLETE
76,0.09366995841264725,0.6805779181376937,6.363553276483523e-05,233,4,,187,24.0,209.0,21.0,,True,False,False,0.3216269612312317,0.2021905928850174,0.44965606927871704,COMPLETE
77,0.07631471753120422,0.7796927515256482,0.007677063087692399,277,5,,152,28.0,231.0,17.0,36.0,True,False,False,0.26359912753105164,0.1571992039680481,0.39648357033729553,COMPLETE
78,0.08535560220479965,0.7522839197067271,0.0020807088893619527,300,5,,115,19.0,190.0,18.0,43.0,True,False,False,0.2732749283313751,0.18573084473609924,0.43096500635147095,COMPLETE
79,0.3739612400531769,0.6924018868376622,1.7860303246733205e-06,233,4,,125,32.0,154.0,25.0,,True,False,False,0.7324617505073547,0.8404930830001831,0.9167841076850891,COMPLETE
80,0.07726455479860306,0.7987318112986829,0.005483659054843449,270,5,,132,23.0,170.0,22.0,29.0,True,False,False,0.2585884928703308,0.1623738557100296,0.40295639634132385,COMPLETE
81,0.07779150456190109,0.7628069740682419,0.004831960255691619,217,5,,161,30.0,146.0,24.0,48.0,True,False,False,0.2664354145526886,0.1606825292110443,0.400852233171463,COMPLETE
82,0.08787163347005844,0.7303815440773758,0.0035888648149385123,208,5,,116,21.0,189.0,22.0,46.0,True,False,False,0.28433284163475037,0.18589141964912415,0.43115127086639404,COMPLETE
83,0.0753425881266594,0.6764549335913983,0.00802522746929294,250,5,,148,33.0,125.0,16.0,40.0,True,False,False,0.2645079791545868,0.1594284325838089,0.39928489923477173,COMPLETE
84,0.0743623748421669,0.7111821670733723,0.005934170259954203,207,5,,174,28.0,143.0,19.0,35.0,True,False,False,0.2544618546962738,0.15889064967632294,0.3986108899116516,COMPLETE
85,0.08672335743904114,0.7440287033059071,0.001823273698237933,272,5,,136,16.0,226.0,23.0,45.0,True,False,False,0.28997930884361267,0.18160772323608398,0.42615461349487305,COMPLETE
86,0.0738023892045021,0.7821410261865797,0.004389466023375254,233,5,,112,20.0,251.0,18.0,33.0,True,False,False,0.26271483302116394,0.15518613159656525,0.39393672347068787,COMPLETE
87,0.4563727378845215,0.6684645569593354,0.003307055961687622,24,5,,143,18.0,160.0,28.0,39.0,True,True,False,0.864966630935669,1.0396232604980469,1.019619107246399,COMPLETE
88,0.07143504172563553,0.7673862372389543,0.00817787664669955,277,5,,201,41.0,174.0,177.0,55.0,True,False,False,0.25331172347068787,0.1524086445569992,0.39039549231529236,COMPLETE
89,0.08663822710514069,0.7698598971054229,0.008276412757893462,282,5,5.0,204,26.0,204.0,199.0,55.0,True,False,True,0.2823363244533539,0.18417420983314514,0.42915523052215576,COMPLETE
90,0.06610628962516785,0.6994882617695433,0.005938173881320387,249,2,,235,24.0,,,,True,False,False,0.2449762374162674,0.13580642640590668,0.36851921677589417,COMPLETE
91,0.061463963240385056,0.732299609008213,0.006101640881381584,254,2,,232,24.0,,,,True,False,False,0.2435871809720993,0.12893493473529816,0.3590750992298126,COMPLETE
92,0.06056557968258858,0.6979470353464556,0.00979800206243465,300,2,,232,24.0,,,,True,False,False,0.23568136990070343,0.12642069160938263,0.3555568754673004,COMPLETE
93,0.06417670100927353,0.6950186581150937,0.009433101666674338,248,2,,254,23.0,,,,True,False,False,0.23941904306411743,0.13543500006198883,0.368014931678772,COMPLETE
94,0.06330348551273346,0.6936175543445063,0.008960676049960389,252,2,,251,23.0,,,,True,False,False,0.2377791851758957,0.13343897461891174,0.3652929961681366,COMPLETE
95,0.06154639646410942,0.6479725067646187,0.009876911271359605,247,2,,251,23.0,,,,True,False,False,0.2380228340625763,0.12815658748149872,0.35798969864845276,COMPLETE
96,0.060667019337415695,0.6448720529473306,0.00933619783126581,247,2,,255,23.0,,,,True,False,False,0.23559848964214325,0.12698888778686523,0.3563550114631653,COMPLETE
97,0.06413334608078003,0.689059097155076,0.00944417365335024,254,2,,251,24.0,,,,True,False,False,0.23845559358596802,0.13486088812351227,0.36723411083221436,COMPLETE
98,0.061939120292663574,0.6426219004540233,0.009148822891311349,253,2,,249,23.0,,,,True,False,False,0.23768682777881622,0.1282634288072586,0.3581388294696808,COMPLETE
99,0.06393800675868988,0.6417322578642922,0.009824595700585692,250,2,,254,24.0,,,,True,False,False,0.24205631017684937,0.13203918933868408,0.36337196826934814,COMPLETE
100,0.38803631067276,0.6392158156223667,0.009830342035024633,199,2,5.0,243,23.0,,,,True,True,True,0.7499333620071411,0.8662779331207275,0.930740475654602,COMPLETE
101,0.06644820421934128,0.6477630557278273,0.009668217193011558,198,2,,228,21.0,,,,True,False,False,0.2452564388513565,0.13972197473049164,0.3737940192222595,COMPLETE
