trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
171,COMPLETE,940,0.1066401964715881,4,3.8132262219921524e-05,0.09050304570369572,0.30083724121806416,0.16940862485437977
172,COMPLETE,970,0.0958836146155796,4,7.5322476411673e-05,0.0988196011040176,0.3143558510732981,0.1685758949862614
173,COMPLETE,973,0.11319501755317712,4,3.3702460473646535e-05,0.0830507840309489,0.288185329312491,0.16670201295241724
174,COMPLETE,987,0.12487208274324399,4,2.1903460043745574e-05,0.07730840417717058,0.27804388894052423,0.1680028859705191
175,COMPLETE,1000,0.12226727204357497,4,2.1606284227224076e-05,0.08490459913345223,0.2913839376723642,0.16999032308050868
176,COMPLETE,934,0.10491533501468095,4,5.220428668879986e-05,0.08804264353051026,0.29671980643447154,0.1709091623402595
177,COMPLETE,875,0.09619345225826227,4,2.653914643579766e-05,0.09191280838203963,0.30317125256534405,0.17191610932209986
178,COMPLETE,907,0.11216279857530424,4,1.5058510906367611e-05,0.07546576000861119,0.2747103201712873,0.16333156624838457
179,COMPLETE,913,0.11810854928381877,4,1.6937951291610464e-05,0.08312846308861958,0.2883200705615542,0.16192315296845694
180,COMPLETE,904,0.10950776391357936,4,1.3852730180515819e-05,0.07620583163506083,0.27605403752718566,0.15608981583645437
181,COMPLETE,946,0.1122692721081235,4,1.0250567346842487e-05,0.0827586206826452,0.2876779808790468,0.16811857794667295
182,COMPLETE,898,0.1086010741507117,4,4.7322409392781704e-05,0.08124686797938588,0.28503836229424606,0.1663741561752887
183,COMPLETE,976,0.08815737222052623,4,1.6861608137761987e-05,0.07594621141028468,0.2755834019136216,0.1643106714079187
184,COMPLETE,986,0.08688005610054801,4,1.3264078956644075e-05,0.0805205546088901,0.2837614396088554,0.1664137814489316
185,COMPLETE,983,0.09206738503689663,4,1.8895411984723915e-05,0.08354471235869189,0.2890410219306109,0.1627205944030212
186,COMPLETE,924,0.12369334717198548,4,7.395468565506897e-05,0.08362699194109956,0.2891833189191582,0.1677046231057363
187,COMPLETE,950,0.09963129378940387,4,6.773541343115288e-06,0.08428540526891903,0.29031948826924975,0.17318244964677806
